#名称,変形角(rad),耐力(kN),heq(任意),壁幅(m),階高(m)
筋交い木材45×90mm以上2倍(BP-2または同等品以上),0.001,1.8473,,0.91,2.73
筋交い木材45×90mm以上2倍(BP-2または同等品以上),0.002,2.7664,,0.91,2.73
筋交い木材45×90mm以上2倍(BP-2または同等品以上),0.003,3.4307,,0.91,2.73
筋交い木材45×90mm以上2倍(BP-2または同等品以上),0.005,4.2315,,0.91,2.73
筋交い木材45×90mm以上2倍(BP-2または同等品以上),0.008,5.2871,,0.91,2.73
筋交い木材45×90mm以上2倍(BP-2または同等品以上),0.01,5.7148,,0.91,2.73
筋交い木材45×90mm以上2倍(BP-2または同等品以上),0.015,6.5611,,0.91,2.73
筋交い木材45×90mm以上2倍(BP-2または同等品以上),0.02,6.6703,,0.91,2.73
筋交い木材45×90mm以上2倍(BP-2または同等品以上),0.03,3.2032,,0.91,2.73
筋交い木材45×90mm以上2倍(BP-2または同等品以上),0.04,2.6026,,0.91,2.73
筋交い木材45×90mm以上2倍(BP-2または同等品以上),0.06,1.9747,,0.91,2.73
たすき筋交い木材45×90mm以上4倍(BP-2または同等品以上),0.001,3.6946,,0.91,2.73
たすき筋交い木材45×90mm以上4倍(BP-2または同等品以上),0.002,5.5328,,0.91,2.73
たすき筋交い木材45×90mm以上4倍(BP-2または同等品以上),0.003,6.8614,,0.91,2.73
たすき筋交い木材45×90mm以上4倍(BP-2または同等品以上),0.005,8.463,,0.91,2.73
たすき筋交い木材45×90mm以上4倍(BP-2または同等品以上),0.008,10.5742,,0.91,2.73
たすき筋交い木材45×90mm以上4倍(BP-2または同等品以上),0.01,11.4296,,0.91,2.73
たすき筋交い木材45×90mm以上4倍(BP-2または同等品以上),0.015,13.1222,,0.91,2.73
たすき筋交い木材45×90mm以上4倍(BP-2または同等品以上),0.02,13.3406,,0.91,2.73
たすき筋交い木材45×90mm以上4倍(BP-2または同等品以上),0.03,6.4064,,0.91,2.73
たすき筋交い木材45×90mm以上4倍(BP-2または同等品以上),0.04,5.2052,,0.91,2.73
たすき筋交い木材45×90mm以上4倍(BP-2または同等品以上),0.06,3.9494,,0.91,2.73
筋交い木材30×90mm以上1.5倍(くぎ打ち),0.001,0.8918,,0.91,2.73
筋交い木材30×90mm以上1.5倍(くぎ打ち),0.002,1.2922,,0.91,2.73
筋交い木材30×90mm以上1.5倍(くぎ打ち),0.003,1.5652,,0.91,2.73
筋交い木材30×90mm以上1.5倍(くぎ打ち),0.005,1.9201,,0.91,2.73
筋交い木材30×90mm以上1.5倍(くぎ打ち),0.008,2.3023,,0.91,2.73
筋交い木材30×90mm以上1.5倍(くぎ打ち),0.01,2.4024,,0.91,2.73
筋交い木材30×90mm以上1.5倍(くぎ打ち),0.015,2.6572,,0.91,2.73
筋交い木材30×90mm以上1.5倍(くぎ打ち),0.02,2.7027,,0.91,2.73
筋交い木材30×90mm以上1.5倍(くぎ打ち),0.03,2.5298,,0.91,2.73
筋交い木材30×90mm以上1.5倍(くぎ打ち),0.04,2.1567,,0.91,2.73
筋交い木材30×90mm以上1.5倍(くぎ打ち),0.06,1.4196,,0.91,2.73
たすき筋交い木材30×90mm以上3倍(くぎ打ち),0.001,1.7836,,0.91,2.73
たすき筋交い木材30×90mm以上3倍(くぎ打ち),0.002,2.5844,,0.91,2.73
たすき筋交い木材30×90mm以上3倍(くぎ打ち),0.003,3.1304,,0.91,2.73
たすき筋交い木材30×90mm以上3倍(くぎ打ち),0.005,3.8402,,0.91,2.73
たすき筋交い木材30×90mm以上3倍(くぎ打ち),0.008,4.6046,,0.91,2.73
たすき筋交い木材30×90mm以上3倍(くぎ打ち),0.01,4.8048,,0.91,2.73
たすき筋交い木材30×90mm以上3倍(くぎ打ち),0.015,5.3144,,0.91,2.73
たすき筋交い木材30×90mm以上3倍(くぎ打ち),0.02,5.4054,,0.91,2.73
たすき筋交い木材30×90mm以上3倍(くぎ打ち),0.03,5.0596,,0.91,2.73
たすき筋交い木材30×90mm以上3倍(くぎ打ち),0.04,4.3134,,0.91,2.73
たすき筋交い木材30×90mm以上3倍(くぎ打ち),0.06,2.8392,,0.91,2.73
鉄筋ブレース9Φ1倍,0.002142857,0.75,,0.91,2.73
鉄筋ブレース9Φ1倍,0.017857143,3,,0.91,2.73
鉄筋ブレース9Φ1倍,0.030357143,3.55,,0.91,2.73
鉄筋ブレース9Φ1倍,0.107142857,0,,0.91,2.73
たすき鉄筋ブレース9Φ2倍,0.002142857,1.5,,0.91,2.73
たすき鉄筋ブレース9Φ2倍,0.017857143,6,,0.91,2.73
たすき鉄筋ブレース9Φ2倍,0.030357143,7.1,,0.91,2.73
たすき鉄筋ブレース9Φ2倍,0.107142857,0,,0.91,2.73
