#名称,変形角(rad),耐力(kN),heq(任意)
筋交い木材45×90mm以上2倍(BP-2または同等品以上),0.001,2.03,
筋交い木材45×90mm以上2倍(BP-2または同等品以上),0.002,3.04,
筋交い木材45×90mm以上2倍(BP-2または同等品以上),0.003,3.77,
筋交い木材45×90mm以上2倍(BP-2または同等品以上),0.005,4.65,
筋交い木材45×90mm以上2倍(BP-2または同等品以上),0.008,5.81,
筋交い木材45×90mm以上2倍(BP-2または同等品以上),0.01,6.28,
筋交い木材45×90mm以上2倍(BP-2または同等品以上),0.015,7.21,
筋交い木材45×90mm以上2倍(BP-2または同等品以上),0.02,7.33,
筋交い木材45×90mm以上2倍(BP-2または同等品以上),0.03,3.52,
筋交い木材45×90mm以上2倍(BP-2または同等品以上),0.04,2.86,
筋交い木材45×90mm以上2倍(BP-2または同等品以上),0.06,2.17,
たすき筋交い木材45×90mm以上4倍(BP-2または同等品以上),0.001,4.06,
たすき筋交い木材45×90mm以上4倍(BP-2または同等品以上),0.002,6.08,
たすき筋交い木材45×90mm以上4倍(BP-2または同等品以上),0.003,7.54,
たすき筋交い木材45×90mm以上4倍(BP-2または同等品以上),0.005,9.3,
たすき筋交い木材45×90mm以上4倍(BP-2または同等品以上),0.008,11.62,
たすき筋交い木材45×90mm以上4倍(BP-2または同等品以上),0.01,12.56,
たすき筋交い木材45×90mm以上4倍(BP-2または同等品以上),0.015,14.42,
たすき筋交い木材45×90mm以上4倍(BP-2または同等品以上),0.02,14.66,
たすき筋交い木材45×90mm以上4倍(BP-2または同等品以上),0.03,7.04,
たすき筋交い木材45×90mm以上4倍(BP-2または同等品以上),0.04,5.72,
たすき筋交い木材45×90mm以上4倍(BP-2または同等品以上),0.06,4.34,
筋交い木材30×90mm以上1.5倍(くぎ打ち),0.001,0.98,
筋交い木材30×90mm以上1.5倍(くぎ打ち),0.002,1.42,
筋交い木材30×90mm以上1.5倍(くぎ打ち),0.003,1.72,
筋交い木材30×90mm以上1.5倍(くぎ打ち),0.005,2.11,
筋交い木材30×90mm以上1.5倍(くぎ打ち),0.008,2.53,
筋交い木材30×90mm以上1.5倍(くぎ打ち),0.01,2.64,
筋交い木材30×90mm以上1.5倍(くぎ打ち),0.015,2.92,
筋交い木材30×90mm以上1.5倍(くぎ打ち),0.02,2.97,
筋交い木材30×90mm以上1.5倍(くぎ打ち),0.03,2.78,
筋交い木材30×90mm以上1.5倍(くぎ打ち),0.04,2.37,
筋交い木材30×90mm以上1.5倍(くぎ打ち),0.06,1.56,
たすき筋交い木材30×90mm以上3倍(くぎ打ち),0.001,1.96,
たすき筋交い木材30×90mm以上3倍(くぎ打ち),0.002,2.84,
たすき筋交い木材30×90mm以上3倍(くぎ打ち),0.003,3.44,
たすき筋交い木材30×90mm以上3倍(くぎ打ち),0.005,4.22,
たすき筋交い木材30×90mm以上3倍(くぎ打ち),0.008,5.06,
たすき筋交い木材30×90mm以上3倍(くぎ打ち),0.01,5.28,
たすき筋交い木材30×90mm以上3倍(くぎ打ち),0.015,5.84,
たすき筋交い木材30×90mm以上3倍(くぎ打ち),0.02,5.94,
たすき筋交い木材30×90mm以上3倍(くぎ打ち),0.03,5.56,
たすき筋交い木材30×90mm以上3倍(くぎ打ち),0.04,4.74,
たすき筋交い木材30×90mm以上3倍(くぎ打ち),0.06,3.12,
吉野石膏EXハイパー9.5mm2.7倍,0.001071429,3,
吉野石膏EXハイパー9.5mm2.7倍,0.007142857,9.3,
吉野石膏EXハイパー9.5mm2.7倍,0.019642857,11.1,
吉野石膏EXハイパー9.5mm2.7倍,0.060714286,0,
吉野石膏EXハイパー9.5mm2.5倍,0.001071429,2.777777778,
吉野石膏EXハイパー9.5mm2.5倍,0.007142857,8.611111111,
吉野石膏EXハイパー9.5mm2.5倍,0.019642857,10.27777778,
吉野石膏EXハイパー9.5mm2.5倍,0.060714286,0,
吉野石膏EXハイパー9.5mm2.2倍,0.001071429,2.444444444,
吉野石膏EXハイパー9.5mm2.2倍,0.007142857,7.577777778,
吉野石膏EXハイパー9.5mm2.2倍,0.019642857,9.044444444,
吉野石膏EXハイパー9.5mm2.2倍,0.060714286,0,
構造用合板(真壁-受材) 2.5倍,0.003571429,3,
構造用合板(真壁-受材) 2.5倍,0.021428571,9,
構造用合板(真壁-受材) 2.5倍,0.042857143,10,
構造用合板(真壁-受材) 2.5倍,0.107142857,0,
モルタル,0.001785714,0.5,
モルタル,0.010714286,2.3,
モルタル,0.035714286,3,
モルタル,0.071428571,0,
構造用合板(大壁)2.5倍,0.003571429,3,
構造用合板(大壁)2.5倍,0.021428571,9.5,
構造用合板(大壁)2.5倍,0.042857143,10.5,
構造用合板(大壁)2.5倍,0.107142857,0,
構造用合板(大壁)両面5倍,0.003571429,6,
構造用合板(大壁)両面5倍,0.021428571,19,
構造用合板(大壁)両面5倍,0.042857143,21,
構造用合板(大壁)両面5倍,0.107142857,0,
石膏ボード(準耐力),0.001071429,0.5,
石膏ボード(準耐力),0.007142857,1.8,
石膏ボード(準耐力),0.019642857,2.1,
石膏ボード(準耐力),0.060714286,0,
石膏ボード(大壁)0.9倍,0.001071429,1,
石膏ボード(大壁)0.9倍,0.007142857,3.1,
石膏ボード(大壁)0.9倍,0.019642857,3.7,
石膏ボード(大壁)0.9倍,0.060714286,0,
サイディング,0.001785714,0.5,
サイディング,0.0125,2.5,
サイディング,0.039285714,3.3,
サイディング,0.125,0,
ラスボード,0.001071429,1.11,
ラスボード,0.007142857,3.5,
ラスボード,0.019642857,4.2,
ラスボード,0.060714286,0,
硬質木片セメント板,0.000714286,1.5,
硬質木片セメント板,0.007142857,5.8,
硬質木片セメント板,0.017857143,6.4,
硬質木片セメント板,0.089285714,0,
炭酸マグネシウム板,0.000714286,1,
炭酸マグネシウム板,0.005357143,3.5,
炭酸マグネシウム板,0.0125,4.5,
炭酸マグネシウム板,0.082142857,0,
パルプセメント板,0.001071429,1,
パルプセメント板,0.0125,4.1,
パルプセメント板,0.032142857,5,
パルプセメント板,0.067857143,0,
ｼｰｼﾞﾝｸﾞｲﾝｼｭﾚｰｼｮﾝﾎﾞｰﾄﾞ ,0.001071429,0.7,
ｼｰｼﾞﾝｸﾞｲﾝｼｭﾚｰｼｮﾝﾎﾞｰﾄﾞ ,0.0125,3.1,
ｼｰｼﾞﾝｸﾞｲﾝｼｭﾚｰｼｮﾝﾎﾞｰﾄﾞ ,0.032142857,3.7,
ｼｰｼﾞﾝｸﾞｲﾝｼｭﾚｰｼｮﾝﾎﾞｰﾄﾞ ,0.067857143,0,
ラスシート ,0.000714286,1,
ラスシート ,0.005357143,3.4,
ラスシート ,0.0125,4.3,
ラスシート ,0.082142857,0,
木ずり  0.5倍,0.001785714,0.5,
木ずり  0.5倍,0.017857143,1.7,
木ずり  0.5倍,0.039285714,2.2,
木ずり  0.5倍,0.107142857,0,
土塗壁(両面塗り厚70mm以上)0.5倍,0.001785714,1.5,
土塗壁(両面塗り厚70mm以上)0.5倍,0.008928571,5.6,
土塗壁(両面塗り厚70mm以上)0.5倍,0.021428571,7.6,
土塗壁(両面塗り厚70mm以上)0.5倍,0.107142857,0,
たすき筋かい鉄筋9Φ2倍,0.002142857,1.5,
たすき筋かい鉄筋9Φ2倍,0.017857143,6,
たすき筋かい鉄筋9Φ2倍,0.030357143,7.1,
たすき筋かい鉄筋9Φ2倍,0.107142857,0,
ﾀﾞｲﾗｲﾄMS 9mm(大壁仕様),0.003571429,3,
ﾀﾞｲﾗｲﾄMS 9mm(大壁仕様),0.021428571,9.5,
ﾀﾞｲﾗｲﾄMS 9mm(大壁仕様),0.042857143,10.5,
ﾀﾞｲﾗｲﾄMS 9mm(大壁仕様),0.107142857,0,
告 構造用合板(受材仕様 CN50@75),0.003571429,3.96,
告 構造用合板(受材仕様 CN50@75),0.021428571,12.54,
告 構造用合板(受材仕様 CN50@75),0.042857143,13.86,
告 構造用合板(受材仕様 CN50@75),0.107142857,0,
構造用PB9mmN50@75mm大壁(4.3倍),0.000657143,2.439,
構造用PB9mmN50@75mm大壁(4.3倍),0.006571429,9.758,
構造用PB9mmN50@75mm大壁(4.3倍),0.023,15.39,
構造用PB9mmN50@75mm大壁(4.3倍),0.042535714,17.1,
構造用PB9mmN50@75mm大壁(4.3倍),0.056071429,15.551,
構造用MDF9mmN50@75mm大壁(4.3倍),0.000685714,2.379,
構造用MDF9mmN50@75mm大壁(4.3倍),0.006857143,9.517,
構造用MDF9mmN50@75mm大壁(4.3倍),0.025,15.427,
構造用MDF9mmN50@75mm大壁(4.3倍),0.0435,17.142,
構造用MDF9mmN50@75mm大壁(4.3倍),0.05775,15.67,
合板9mmCN50@75mm大壁(3.7倍),0.000867857,2.079,
合板9mmCN50@75mm大壁(3.7倍),0.008678571,8.315,
合板9mmCN50@75mm大壁(3.7倍),0.03025,13.547,
合板9mmCN50@75mm大壁(3.7倍),0.053392857,15.181,
合板9mmCN50@75mm大壁(3.7倍),0.060357143,13.876,
構造用パネル9mmN50@75mm大壁(3.7倍),0.000521429,2.069,
構造用パネル9mmN50@75mm大壁(3.7倍),0.005214286,8.274,
構造用パネル9mmN50@75mm大壁(3.7倍),0.017321429,13.578,
構造用パネル9mmN50@75mm大壁(3.7倍),0.03625,15.087,
構造用パネル9mmN50@75mm大壁(3.7倍),0.04725,13.85,
構造用PB9mmN50@150mm大壁(2.5倍),0.000439286,1.268,
構造用PB9mmN50@150mm大壁(2.5倍),0.004392857,5.073,
構造用PB9mmN50@150mm大壁(2.5倍),0.017,7.853,
構造用PB9mmN50@150mm大壁(2.5倍),0.033142857,8.725,
構造用PB9mmN50@150mm大壁(2.5倍),0.052607143,8.036,
構造用MDF9mmN50@150mm大壁(2.5倍),0.000689286,1.2,
構造用MDF9mmN50@150mm大壁(2.5倍),0.006892857,4.8,
構造用MDF9mmN50@150mm大壁(2.5倍),0.025,8.478,
構造用MDF9mmN50@150mm大壁(2.5倍),0.044107143,9.42,
構造用MDF9mmN50@150mm大壁(2.5倍),0.06075,8.555,
構造用PB9mmN50@75mm真壁(4.0倍),0.000639286,2.353,
構造用PB9mmN50@75mm真壁(4.0倍),0.006392857,9.413,
構造用PB9mmN50@75mm真壁(4.0倍),0.02,15.161,
構造用PB9mmN50@75mm真壁(4.0倍),0.042642857,16.845,
構造用PB9mmN50@75mm真壁(4.0倍),0.054535714,15.621,
構造用MDF9mmN50@75mm真壁(4.0倍),0.000685714,2.213,
構造用MDF9mmN50@75mm真壁(4.0倍),0.006857143,8.853,
構造用MDF9mmN50@75mm真壁(4.0倍),0.025,14.351,
構造用MDF9mmN50@75mm真壁(4.0倍),0.0435,15.946,
構造用MDF9mmN50@75mm真壁(4.0倍),0.05775,14.577,
合板9mmCN50@75mm真壁(3.3倍),0.000928571,2.042,
合板9mmCN50@75mm真壁(3.3倍),0.009285714,8.166,
合板9mmCN50@75mm真壁(3.3倍),0.029785714,13.31,
合板9mmCN50@75mm真壁(3.3倍),0.052857143,14.783,
合板9mmCN50@75mm真壁(3.3倍),0.058785714,13.41,
構造用パネル9mmN50@75mm真壁(3.3倍),0.000753571,2.057,
構造用パネル9mmN50@75mm真壁(3.3倍),0.007535714,8.229,
構造用パネル9mmN50@75mm真壁(3.3倍),0.0265,13.42,
構造用パネル9mmN50@75mm真壁(3.3倍),0.045642857,14.912,
構造用パネル9mmN50@75mm真壁(3.3倍),0.056035714,13.409,
構造用PB9mmN50@150mm真壁(2.5倍),0.000535714,1.136,
構造用PB9mmN50@150mm真壁(2.5倍),0.005357143,4.543,
構造用PB9mmN50@150mm真壁(2.5倍),0.018,7.799,
構造用PB9mmN50@150mm真壁(2.5倍),0.031142857,8.665,
構造用PB9mmN50@150mm真壁(2.5倍),0.047642857,8.016,
構造用MDF9mmN50@150mm真壁(2.5倍),0.000689286,1.2,
構造用MDF9mmN50@150mm真壁(2.5倍),0.006892857,4.8,
構造用MDF9mmN50@150mm真壁(2.5倍),0.025,8.478,
構造用MDF9mmN50@150mm真壁(2.5倍),0.044107143,9.42,
構造用MDF9mmN50@150mm真壁(2.5倍),0.06075,8.555,
ノボパン認定2.9倍（大壁FRM-0177),0.000547,1.69589875,
ノボパン認定2.9倍（大壁FRM-0177),0.00547,6.783595,
ノボパン認定2.9倍（大壁FRM-0177),0.02,10.72822433,
ノボパン認定2.9倍（大壁FRM-0177),0.03819,11.92024925,
ノボパン認定2.9倍（大壁FRM-0177),0.0547,10.81459925,
ノボパン認定2.6倍（真壁・真壁床勝ちFRM-0179),0.000683,1.539953188,
ノボパン認定2.6倍（真壁・真壁床勝ちFRM-0179),0.00683,6.15981275,
ノボパン認定2.6倍（真壁・真壁床勝ちFRM-0179),0.03,11.58431684,
ノボパン認定2.6倍（真壁・真壁床勝ちFRM-0179),0.04397,12.87146315,
ノボパン認定2.6倍（真壁・真壁床勝ちFRM-0179),0.05953,11.4480002,
ノボパン認定3.0倍（大壁床勝ちFRM-0242）,0.00054,1.866143825,
ノボパン認定3.0倍（大壁床勝ちFRM-0242）,0.0054,7.4645753,
ノボパン認定3.0倍（大壁床勝ちFRM-0242）,0.02,11.62799411,
ノボパン認定3.0倍（大壁床勝ちFRM-0242）,0.03542,12.91999345,
ノボパン認定3.0倍（大壁床勝ちFRM-0242）,0.04591,11.9182336,
ノボパン告示4.3倍（大壁）,0.000658,2.439385,
ノボパン告示4.3倍（大壁）,0.00658,9.75754,
ノボパン告示4.3倍（大壁）,0.023,15.390135,
ノボパン告示4.3倍（大壁）,0.04253,17.10015,
ノボパン告示4.3倍（大壁）,0.05607,15.55102,
ノボパン告示4.0倍（真壁）,0.000638,2.353135,
ノボパン告示4.0倍（真壁）,0.00638,9.41254,
ノボパン告示4.0倍（真壁）,0.02,15.160635,
ノボパン告示4.0倍（真壁）,0.04264,16.84515,
ノボパン告示4.0倍（真壁）,0.05454,15.62102,
ノボパン告示2.5倍（大壁）,0.00044,1.268135,
ノボパン告示2.5倍（大壁）,0.0044,5.07254,
ノボパン告示2.5倍（大壁）,0.017,7.852635,
ノボパン告示2.5倍（大壁）,0.03314,8.72515,
ノボパン告示2.5倍（大壁）,0.0526,8.03602,
ノボパン告示2.5倍（真壁）,0.000535,1.135635,
ノボパン告示2.5倍（真壁）,0.00535,4.54254,
ノボパン告示2.5倍（真壁）,0.018,7.798635,
ノボパン告示2.5倍（真壁）,0.03114,8.66515,
ノボパン告示2.5倍（真壁）,0.04763,8.01602,
面格子 0.53倍相当,0.01262473,0.75,
面格子 0.53倍相当,0.02225597,2.0625,
面格子 0.53倍相当,0.03019523,4,
面格子 0.53倍相当,0.04529284,8.28125,
面格子 0.53倍相当,0.0562256,10.59375,
面格子 0.53倍相当,0.11245119,0,
落とし込み板壁 0.78倍相当,0.00232836,0.89449541,
落とし込み板壁 0.78倍相当,0.00850746,1.10091743,
落とし込み板壁 0.78倍相当,0.0320597,6.84633028,
落とし込み板壁 0.78倍相当,0.04737313,9.90825688,
落とし込み板壁 0.78倍相当,0.06107463,11.9036697,
落とし込み板壁 0.78倍相当,0.12214925,0,
